                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.363,                 3.7727,                 4.3395,                  4e-05,                 0.0052,                  2e-05,                      0,                 3.2149,                 4.4585,                 4.1845,             0.00053344,             0.00053344,             0.00053344
                      2,                 2.7803,                 2.4988,                 3.5109,                  4e-05,                0.00312,                  2e-05,                      0,                 3.3007,                 4.4246,                 4.3418,              0.0010728,              0.0010728,              0.0010728
                      3,                 2.3978,                 2.0184,                 2.9492,                  5e-05,                0.00312,                  3e-05,                      0,                 3.2356,                  4.383,                 4.3275,              0.0016013,              0.0016013,              0.0016013
                      4,                 2.2021,                 1.8133,                  2.613,                0.95196,                0.47089,                0.63987,                0.17769,                 2.7174,                  2.232,                 3.1074,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.026,                 1.6222,                 2.4299,                 0.8376,                0.60007,                0.77263,                0.17349,                 2.9959,                 2.1603,                 3.2519,               0.001601,               0.001601,               0.001601
                      6,                 1.8647,                 1.4496,                 2.2676,                0.87491,                0.92575,                0.96686,                 0.4973,                 1.7181,                 1.2295,                 2.3401,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7469,                 1.3056,                 2.1593,                0.91128,                0.91941,                0.95168,                0.51682,                 1.5872,                 1.1407,                 2.2273,               0.001568,               0.001568,               0.001568
                      8,                 1.7008,                 1.2286,                 2.1297,                0.89987,                0.92166,                 0.9423,                0.47739,                 1.6799,                 1.2239,                 2.2981,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6232,                 1.1419,                 2.0604,                0.93785,                0.95545,                0.97504,                0.58564,                 1.4563,                 1.0557,                 2.0821,               0.001535,               0.001535,               0.001535
                     10,                  1.542,                 1.0846,                 1.9588,                0.86559,                0.84477,                0.92998,                0.44827,                 1.8092,                 1.5327,                 2.5277,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.5167,                 0.9857,                 1.8901,                0.92223,                0.98011,                0.96778,                0.61778,                 1.3039,                0.89382,                  1.952,               0.001502,               0.001502,               0.001502
                     12,                  1.465,                  0.977,                 1.8858,                0.92557,                0.98768,                0.97178,                0.63626,                 1.2952,                0.83523,                 1.9255,              0.0014855,              0.0014855,              0.0014855
